bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
17,72,2880,1568,77,30,0,0,1,4.89
18,72,2880,1568,77,30,0,0,1,4.92
19,72,2880,1568,77,30,0,0,1,4.93
20,72,2880,1568,77,30,0,0,1,4.94
21,72,2880,1568,77,30,0,0,1,4.94
22,72,2880,1568,77,30,0,0,1,4.93
23,72,2880,1568,77,30,0,0,1,4.91
24,72,2880,1568,77,30,0,0,1,4.87
25,72,2880,1568,77,30,0,0,1,4.83
26,72,2880,1568,77,30,0,0,1,4.78
27,72,2880,1568,77,30,0,0,1,4.72
28,72,2880,1568,77,30,0,0,1,4.65
29,72,2880,1568,77,30,0,0,1,4.57
30,72,2880,1568,77,30,0,0,1,4.48
2,72,2880,1568,77,30,0,0,2,3.32
3,72,2880,1568,77,30,0,0,2,3.49
4,72,2880,1568,77,30,0,0,2,3.66
5,72,2880,1568,77,30,0,0,2,3.81
6,72,2880,1568,77,30,0,0,2,3.95
7,72,2880,1568,77,30,0,0,2,4.09
8,72,2880,1568,77,30,0,0,2,4.21
9,72,2880,1568,77,30,0,0,2,4.32
10,72,2880,1568,77,30,0,0,2,4.43
11,72,2880,1568,77,30,0,0,2,4.52
12,72,2880,1568,77,30,0,0,2,4.61
13,72,2880,1568,77,30,0,0,2,4.69
14,72,2880,1568,77,30,0,0,2,4.75
15,72,2880,1568,77,30,0,0,2,4.81
16,72,2880,1568,77,30,0,0,2,4.85
17,72,2880,1568,77,30,0,0,2,4.89
18,72,2880,1568,77,30,0,0,2,4.92
19,72,2880,1568,77,30,0,0,2,4.94
20,72,2880,1568,77,30,0,0,2,4.94
21,72,2880,1568,77,30,0,0,2,4.94
22,72,2880,1568,77,30,0,0,2,4.93
23,72,2880,1568,77,30,0,0,2,4.91
24,72,2880,1568,77,30,0,0,2,4.88
25,72,2880,1568,77,30,0,0,2,4.84
26,72,2880,1568,77,30,0,0,2,4.79
27,72,2880,1568,77,30,0,0,2,4.73
28,72,2880,1568,77,30,0,0,2,4.66
29,72,2880,1568,77,30,0,0,2,4.58
30,72,2880,1568,77,30,0,0,2,4.49
2,72,2880,1568,77,30,0,0,3,3.27
3,72,2880,1568,77,30,0,0,3,3.43
4,72,2880,1568,77,30,0,0,3,3.58
5,72,2880,1568,77,30,0,0,3,3.72
6,72,2880,1568,77,30,0,0,3,3.85
7,72,2880,1568,77,30,0,0,3,3.98
8,72,2880,1568,77,30,0,0,3,4.09
9,72,2880,1568,77,30,0,0,3,4.2
10,72,2880,1568,77,30,0,0,3,4.29
11,72,2880,1568,77,30,0,0,3,4.38
12,72,2880,1568,77,30,0,0,3,4.46
13,72,2880,1568,77,30,0,0,3,4.53
14,72,2880,1568,77,30,0,0,3,4.59
15,72,2880,1568,77,30,0,0,3,4.64
16,72,2880,1568,77,30,0,0,3,4.68
17,72,2880,1568,77,30,0,0,3,4.72
18,72,2880,1568,77,30,0,0,3,4.74
19,72,2880,1568,77,30,0,0,3,4.76
20,72,2880,1568,77,30,0,0,3,4.76
21,72,2880,1568,77,30,0,0,3,4.76
22,72,2880,1568,77,30,0,0,3,4.75
23,72,2880,1568,77,30,0,0,3,4.73
24,72,2880,1568,77,30,0,0,3,4.7
25,72,2880,1568,77,30,0,0,3,4.66
26,72,2880,1568,77,30,0,0,3,4.62
27,72,2880,1568,77,30,0,0,3,4.56
28,72,2880,1568,77,30,0,0,3,4.5
29,72,2880,1568,77,30,0,0,3,4.42
30,72,2880,1568,77,30,0,0,3,4.34
2,72,2880,1568,77,30,0,1,1,3.42
3,72,2880,1568,77,30,0,1,1,3.61
4,72,2880,1568,77,30,0,1,1,3.79
5,72,2880,1568,77,30,0,1,1,3.96
6,72,2880,1568,77,30,0,1,1,4.12
7,72,2880,1568,77,30,0,1,1,4.26
8,72,2880,1568,77,30,0,1,1,4.4
9,72,2880,1568,77,30,0,1,1,4.53
10,72,2880,1568,77,30,0,1,1,4.64
11,72,2880,1568,77,30,0,1,1,4.75
12,72,2880,1568,77,30,0,1,1,4.84
13,72,2880,1568,77,30,0,1,1,4.92
14,72,2880,1568,77,30,0,1,1,5.0
15,72,2880,1568,77,30,0,1,1,5.06
16,72,2880,1568,77,30,0,1,1,5.11
17,72,2880,1568,77,30,0,1,1,5.15
18,72,2880,1568,77,30,0,1,1,5.18
19,72,2880,1568,77,30,0,1,1,5.2
20,72,2880,1568,77,30,0,1,1,5.21
21,72,2880,1568,77,30,0,1,1,5.21
22,72,2880,1568,77,30,0,1,1,5.2
23,72,2880,1568,77,30,0,1,1,5.17
24,72,2880,1568,77,30,0,1,1,5.14
25,72,2880,1568,77,30,0,1,1,5.1
26,72,2880,1568,77,30,0,1,1,5.04
27,72,2880,1568,77,30,0,1,1,4.98
28,72,2880,1568,77,30,0,1,1,4.9
29,72,2880,1568,77,30,0,1,1,4.81
30,72,2880,1568,77,30,0,1,1,4.72
2,72,2880,1568,77,30,0,1,2,3.42
3,72,2880,1568,77,30,0,1,2,3.61
4,72,2880,1568,77,30,0,1,2,3.78
5,72,2880,1568,77,30,0,1,2,3.95
6,72,2880,1568,77,30,0,1,2,4.1
7,72,2880,1568,77,30,0,1,2,4.25
8,72,2880,1568,77,30,0,1,2,4.38
9,72,2880,1568,77,30,0,1,2,4.5
10,72,2880,1568,77,30,0,1,2,4.62
11,72,2880,1568,77,30,0,1,2,4.72
12,72,2880,1568,77,30,0,1,2,4.81
13,72,2880,1568,77,30,0,1,2,4.89
14,72,2880,1568,77,30,0,1,2,4.97
15,72,2880,1568,77,30,0,1,2,5.03
16,72,2880,1568,77,30,0,1,2,5.08
17,72,2880,1568,77,30,0,1,2,5.12
18,72,2880,1568,77,30,0,1,2,5.15
19,72,2880,1568,77,30,0,1,2,5.17
20,72,2880,1568,77,30,0,1,2,5.18
21,72,2880,1568,77,30,0,1,2,5.18
22,72,2880,1568,77,30,0,1,2,5.17
23,72,2880,1568,77,30,0,1,2,5.14
24,72,2880,1568,77,30,0,1,2,5.11
25,72,2880,1568,77,30,0,1,2,5.07
26,72,2880,1568,77,30,0,1,2,5.02
27,72,2880,1568,77,30,0,1,2,4.95
28,72,2880,1568,77,30,0,1,2,4.88
29,72,2880,1568,77,30,0,1,2,4.79
30,72,2880,1568,77,30,0,1,2,4.7
2,72,2880,1568,77,30,0,1,3,3.35
3,72,2880,1568,77,30,0,1,3,3.52
4,72,2880,1568,77,30,0,1,3,3.69
5,72,2880,1568,77,30,0,1,3,3.84
6,72,2880,1568,77,30,0,1,3,3.98
7,72,2880,1568,77,30,0,1,3,4.12
8,72,2880,1568,77,30,0,1,3,4.24
9,72,2880,1568,77,30,0,1,3,4.35
